date,team_a,team_b,score
2019-12-31,1610612758,1610612746,192
2019-12-31,1610612745,1610612743,234
2019-12-31,1610612759,1610612744,230
2019-12-30,1610612753,1610612737,194
2019-12-30,1610612741,1610612749,225
2019-12-30,1610612762,1610612765,185
2019-12-30,1610612757,1610612756,238
2019-12-29,1610612761,1610612760,195
2019-12-29,1610612763,1610612766,221
2019-12-29,1610612743,1610612758,235
2019-12-29,1610612747,1610612742,203
2019-12-28,1610612743,1610612763,229
2019-12-28,1610612740,1610612754,218
2019-12-28,1610612748,1610612755,233
2019-12-28,1610612741,1610612737,197
2019-12-28,1610612750,1610612739,182
2019-12-28,1610612759,1610612765,245
2019-12-28,1610612744,1610612742,262
2019-12-28,1610612758,1610612756,222
2019-12-28,1610612757,1610612747,248
2019-12-27,1610612738,1610612739,246
2019-12-27,1610612766,1610612760,206
2019-12-27,1610612753,1610612755,195
2019-12-27,1610612737,1610612749,198
2019-12-27,1610612748,1610612754,225
2019-12-27,1610612744,1610612756,201
2019-12-26,1610612751,1610612752,176
2019-12-26,1610612760,1610612763,207
2019-12-26,1610612742,1610612759,200
2019-12-26,1610612758,1610612750,209
2019-12-26,1610612762,1610612757,236
2019-12-25,1610612761,1610612738,220
2019-12-25,1610612755,1610612749,230
2019-12-25,1610612744,1610612745,220
2019-12-25,1610612747,1610612746,217
2019-12-25,1610612743,1610612740,212
2019-12-23,1610612739,1610612737,239
2019-12-23,1610612765,1610612755,234
2019-12-23,1610612754,1610612761,235
2019-12-23,1610612752,1610612764,236
2019-12-23,1610612753,1610612741,198
2019-12-23,1610612763,1610612759,260
2019-12-23,1610612756,1610612743,224
2019-12-23,1610612757,1610612740,196
2019-12-23,1610612758,1610612745,217
2019-12-23,1610612744,1610612750,217
2019-12-22,1610612761,1610612742,217
2019-12-22,1610612738,1610612766,212
2019-12-22,1610612760,1610612746,230
2019-12-22,1610612747,1610612743,232
2019-12-21,1610612766,1610612762,221
2019-12-21,1610612765,1610612741,226
2019-12-21,1610612752,1610612749,225
2019-12-21,1610612759,1610612746,243
2019-12-21,1610612756,1610612745,264
2019-12-20,1610612739,1610612763,221
2019-12-20,1610612754,1610612758,224
2019-12-20,1610612738,1610612765,207
2019-12-20,1610612761,1610612764,240
2019-12-20,1610612755,1610612742,215
2019-12-20,1610612760,1610612756,234
2019-12-20,1610612743,1610612750,209
2019-12-20,1610612744,1610612740,208
2019-12-19,1610612749,1610612747,215
2019-12-19,1610612746,1610612745,239
2019-12-18,1610612739,1610612766,198
2019-12-18,1610612764,1610612741,219
2019-12-18,1610612755,1610612748,212
2019-12-18,1610612750,1610612740,206
2019-12-18,1610612760,1610612763,248
2019-12-18,1610612743,1610612753,217
2019-12-18,1610612742,1610612738,212
2019-12-18,1610612757,1610612744,234
2019-12-17,1610612766,1610612758,212
2019-12-17,1610612752,1610612737,263
2019-12-17,1610612762,1610612753,211
2019-12-16,1610612765,1610612764,252
2019-12-16,1610612761,1610612739,246
2019-12-16,1610612763,1610612748,229
2019-12-16,1610612749,1610612742,236
2019-12-16,1610612760,1610612741,215
2019-12-16,1610612756,1610612757,221
2019-12-15,1610612740,1610612753,249
2019-12-15,1610612754,1610612766,192
2019-12-15,1610612751,1610612755,198
2019-12-15,1610612744,1610612758,179
2019-12-14,1610612761,1610612751,212
2019-12-14,1610612741,1610612746,215
2019-12-14,1610612763,1610612764,239
