date,team_a,team_b,score
2020-01-24,1610612753,1610612738,207.0
2020-01-24,1610612752,1610612761,230.0
2020-01-24,1610612748,1610612746,239.0
2020-01-24,1610612741,1610612758,179.0
2020-01-24,1610612750,1610612745,255.0
2020-01-24,1610612740,1610612743,219.0
2020-01-24,1610612760,1610612737,251.0
2020-01-24,1610612759,1610612756,202.0
2020-01-24,1610612744,1610612754,247.0
2020-01-23,1610612739,1610612764,236.0
2020-01-23,1610612751,1610612747,241.0
2020-01-23,1610612757,1610612742,258.0
2020-01-22,1610612765,1610612758,233.0
2020-01-22,1610612753,1610612760,234.0
2020-01-22,1610612761,1610612755,202.0
2020-01-22,1610612737,1610612746,197.0
2020-01-22,1610612738,1610612763,214.0
2020-01-22,1610612748,1610612764,263.0
2020-01-22,1610612752,1610612747,192.0
2020-01-22,1610612741,1610612750,227.0
2020-01-22,1610612745,1610612743,226.0
2020-01-22,1610612756,1610612754,199.0
2020-01-22,1610612740,1610612759,238.0
2020-01-22,1610612744,1610612762,225.0
2020-01-21,1610612742,1610612746,217.0
2020-01-20,1610612764,1610612765,206.0
2020-01-20,1610612737,1610612761,239.0
2020-01-20,1610612751,1610612755,228.0
2020-01-20,1610612766,1610612753,189.0
2020-01-20,1610612739,1610612752,192.0
2020-01-20,1610612748,1610612758,231.0
2020-01-20,1610612745,1610612760,219.0
2020-01-20,1610612763,1610612740,242.0
2020-01-20,1610612749,1610612741,209.0
2020-01-20,1610612738,1610612747,246.0
2020-01-20,1610612750,1610612743,207.0
2020-01-20,1610612756,1610612759,238.0
2020-01-20,1610612762,1610612754,206.0
2020-01-20,1610612757,1610612744,253.0
2020-01-19,1610612759,1610612748,209.0
2020-01-19,1610612743,1610612754,222.0
2020-01-18,1610612740,1610612746,263.0
2020-01-18,1610612751,1610612749,214.0
2020-01-18,1610612738,1610612756,242.0
2020-01-18,1610612737,1610612765,239.0
2020-01-18,1610612752,1610612755,177.0
2020-01-18,1610612741,1610612739,234.0
2020-01-18,1610612750,1610612761,234.0
2020-01-18,1610612745,1610612747,239.0
2020-01-18,1610612744,1610612753,204.0
2020-01-18,1610612760,1610612757,225.0
2020-01-18,1610612762,1610612758,224.0
2020-01-17,1610612754,1610612750,230.0
2020-01-17,1610612755,1610612741,189.0
2020-01-17,1610612761,1610612764,251.0
2020-01-17,1610612763,1610612739,222.0
2020-01-17,1610612760,1610612748,223.0
2020-01-17,1610612759,1610612737,241.0
2020-01-17,1610612742,1610612757,232.0
2020-01-16,1610612752,1610612756,219.0
2020-01-16,1610612749,1610612738,251.0
2020-01-16,1610612740,1610612762,270.0
2020-01-16,1610612744,1610612743,265.0
2020-01-16,1610612746,1610612753,217.0
2020-01-15,1610612738,1610612765,219.0
2020-01-15,1610612755,1610612751,223.0
2020-01-15,1610612748,1610612759,206.0
2020-01-15,1610612741,1610612764,221.0
2020-01-15,1610612750,1610612754,203.0
2020-01-15,1610612760,1610612761,251.0
2020-01-15,1610612743,1610612766,186.0
2020-01-15,1610612745,1610612757,224.0
2020-01-15,1610612758,1610612742,250.0
