,date,team_a,team_b,score
325,2020-01-10,1610612752,1610612740,234.0
326,2020-01-10,1610612751,1610612748,230.0
327,2020-01-10,1610612741,1610612754,221.0
328,2020-01-10,1610612763,1610612759,255.0
329,2020-01-10,1610612756,1610612753,192.0
330,2020-01-10,1610612762,1610612766,201.0
331,2020-01-10,1610612742,1610612747,243.0
332,2020-01-10,1610612758,1610612749,233.0
333,2020-01-10,1610612746,1610612744,209.0
334,2020-01-09,1610612765,1610612739,227.0
335,2020-01-09,1610612755,1610612738,207.0
336,2020-01-09,1610612750,1610612757,218.0
337,2020-01-09,1610612760,1610612745,205.0
338,2020-01-08,1610612738,1610612759,243.0
339,2020-01-08,1610612766,1610612761,222.0
340,2020-01-08,1610612754,1610612748,230.0
341,2020-01-08,1610612753,1610612764,212.0
342,2020-01-08,1610612737,1610612745,237.0
343,2020-01-08,1610612742,1610612743,213.0
344,2020-01-08,1610612740,1610612741,231.0
345,2020-01-08,1610612762,1610612752,232.0
346,2020-01-08,1610612744,1610612749,205.0
347,2020-01-07,1610612739,1610612765,228.0
348,2020-01-07,1610612761,1610612757,200.0
349,2020-01-07,1610612751,1610612760,214.0
350,2020-01-07,1610612763,1610612750,231.0
351,2020-01-07,1610612756,1610612758,217.0
352,2020-01-07,1610612747,1610612752,204.0
353,2020-01-06,1610612766,1610612754,219.0
354,2020-01-06,1610612753,1610612751,190.0
355,2020-01-06,1610612755,1610612760,233.0
356,2020-01-06,1610612764,1610612738,193.0
357,2020-01-06,1610612737,1610612743,238.0
358,2020-01-06,1610612740,1610612762,254.0
359,2020-01-06,1610612742,1610612741,228.0
360,2020-01-06,1610612759,1610612749,230.0
361,2020-01-06,1610612758,1610612744,209.0
362,2020-01-05,1610612746,1610612752,267.0
363,2020-01-05,1610612748,1610612757,233.0
364,2020-01-05,1610612739,1610612750,221.0
365,2020-01-05,1610612756,1610612763,235.0
366,2020-01-05,1610612747,1610612765,205.0
367,2020-01-04,1610612746,1610612763,254.0
368,2020-01-04,1610612751,1610612761,223.0
369,2020-01-04,1610612753,1610612762,205.0
370,2020-01-04,1610612737,1610612754,227.0
371,2020-01-04,1610612739,1610612760,227.0
372,2020-01-04,1610612764,1610612743,242.0
373,2020-01-04,1610612741,1610612738,215.0
374,2020-01-04,1610612742,1610612766,243.0
375,2020-01-04,1610612749,1610612759,245.0
376,2020-01-04,1610612744,1610612765,215.0
377,2020-01-04,1610612758,1610612740,232.0
378,2020-01-03,1610612738,1610612737,215.0
379,2020-01-03,1610612753,1610612748,190.0
380,2020-01-03,1610612764,1610612757,225.0
381,2020-01-03,1610612745,1610612755,226.0
382,2020-01-03,1610612756,1610612752,232.0
383,2020-01-03,1610612747,1610612740,236.0
384,2020-01-02,1610612739,1610612766,215.0
385,2020-01-02,1610612754,1610612743,240.0
386,2020-01-02,1610612748,1610612761,160.0
387,2020-01-02,1610612741,1610612762,200.0
388,2020-01-02,1610612750,1610612744,183.0
389,2020-01-02,1610612742,1610612751,234.0
390,2020-01-02,1610612759,1610612760,212.0
391,2020-01-02,1610612758,1610612763,251.0
392,2020-01-02,1610612746,1610612765,238.0
393,2020-01-01,1610612764,1610612753,223.0
394,2020-01-01,1610612752,1610612757,210.0
395,2020-01-01,1610612749,1610612750,210.0
396,2020-01-01,1610612747,1610612756,224.0
397,2019-12-31,1610612766,1610612738,201.0
398,2019-12-31,1610612754,1610612755,212.0
399,2019-12-31,1610612758,1610612746,192.0
400,2019-12-31,1610612761,1610612739,214.0
401,2019-12-31,1610612745,1610612743,234.0
402,2019-12-31,1610612759,1610612744,230.0
403,2019-12-31,1610612760,1610612742,207.0
