date,team_a,team_b,score,sidefeature
2020-01-22,1610612765,1610612758,233.0,213.16
2020-01-22,1610612753,1610612760,234.0,210.46
2020-01-22,1610612761,1610612755,202.0,213.16
2020-01-22,1610612737,1610612746,197.0,215.66
2020-01-22,1610612738,1610612763,214.0,214.2
2020-01-22,1610612748,1610612764,263.0,205.64
2020-01-22,1610612752,1610612747,192.0,217.42
2020-01-22,1610612741,1610612750,227.0,206.18
2020-01-22,1610612745,1610612743,226.0,221.52
2020-01-22,1610612756,1610612754,199.0,211.18
2020-01-22,1610612740,1610612759,238.0,217.08
2020-01-22,1610612744,1610612762,225.0,208.76
2020-01-21,1610612742,1610612746,217.0,221.5
2020-01-20,1610612764,1610612765,206.0,209.96
2020-01-20,1610612737,1610612761,239.0,211.1
2020-01-20,1610612751,1610612755,228.0,207.82
2020-01-20,1610612766,1610612753,189.0,202.3
2020-01-20,1610612739,1610612752,192.0,207.94
2020-01-20,1610612748,1610612758,231.0,207.8
2020-01-20,1610612745,1610612760,219.0,221.38
2020-01-20,1610612763,1610612740,242.0,216.3
2020-01-20,1610612749,1610612741,209.0,205.2
2020-01-20,1610612738,1610612747,246.0,218.52
2020-01-20,1610612750,1610612743,207.0,218.18
2020-01-20,1610612756,1610612759,238.0,216.86
2020-01-20,1610612762,1610612754,206.0,203.82
2020-01-20,1610612757,1610612744,253.0,215.72
2020-01-19,1610612759,1610612748,209.0,209.32
2020-01-19,1610612743,1610612754,222.0,210.42
2020-01-18,1610612740,1610612746,263.0,219.94
2020-01-18,1610612751,1610612749,214.0,209.24
2020-01-18,1610612738,1610612756,242.0,214.44
2020-01-18,1610612737,1610612765,239.0,210.02
2020-01-18,1610612752,1610612755,177.0,211.12
2020-01-18,1610612741,1610612739,234.0,200.18
2020-01-18,1610612750,1610612761,234.0,215.0
2020-01-18,1610612745,1610612747,239.0,224.04
2020-01-18,1610612744,1610612753,204.0,206.38
2020-01-18,1610612760,1610612757,225.0,219.16000000000003
2020-01-18,1610612762,1610612758,224.0,208.68
2020-01-17,1610612754,1610612750,230.0,207.22
